Sheet,nome,status,Answer-status,Name,Answer-Name,Address,A - Address,Address Wrong,Address Wrong,Address Wrong-Word Missing,Address Wrong-Word Missing,Address Wrong-Minor Mistake,Address Wrong-Minor Mistake,Address Wrong-Major Mistake,Address Wrong-Major Mistake,Category,A - Category,Business Hour,A - Business Hour,Tel,A - Tel,Final result,"After Appeal
(Rodrigo)",APPEAL,Reason
Day3,"Rádio Gospel CampinasRua Isaura Aparecida Contarelli, Núcleo Habitacional Lech Walesa, Campinas, Campinas, Região Imediata de Campinas, Região Metropolitana de Campinas, Região Geográfica Intermediária de Campinas, São Paulo, Região Sudeste, 13054-412, BrasilopenOffice and Industrial, Radio Broadcaster",Correct,UV,Correct,Correct,UV,Wrong,null,"[""Minor Mistake"",""Word Missing"",""Major Mistake""]",null,"[""Missing House Number""]",null,"[""Repetition"",""Other Information"",""Misspell""]",null,"[""Wrong Province/City/District/Town""]",Correct,Correct,Correct,Correct,Correct,Correct,Fail,Right,Yes,"Status,Address"
Day3,"AMPLA CONTAINERSRua Braz Cubas, Centro, Santos, Santos, Região Imediata de Santos, Região Metropolitana da Baixada Santista, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 11013-925, BrasilopenService, Transportation Service",UV,UV,Correct,Correct,Wrong,Wrong,"[""Minor Mistake"",""Word Missing""]","[""Word Missing"",""Minor Mistake""]","[""Missing House Number""]","[""Missing House Number""]","[""Other Information"",""Repetition""]","[""Repetition"",""Other Information""]",null,null,Correct,Correct,UV,UV,Correct,Correct,Fail,Right,Yes,Address
Day3,"Frizon AdvocaciaRua Coronel Aparício Mariense, Centro, Nhú-Porã, São Borja, Região Geográfica Imediata de São Borja, Região Geográfica Intermediária de Uruguaiana, Rio Grande do Sul, Região Sul, 97670-000, BrasilopenService, Legal Service",UV,UV,Correct,Correct,Wrong,Wrong,"[""Minor Mistake"",""Word Missing""]","[""Minor Mistake"",""Word Missing""]","[""Missing House Number""]","[""Missing House Number""]","[""Other Information""]","[""Other Information""]",null,null,Correct,Correct,UV,UV,Correct,Correct,Right,Right,No,
Day3,"Dsg Farma São Joaquim da Barra1159, Rua São Paulo, João Paulo II, São Joaquim da Barra, São Joaquim da Barra, Região Imediata de São Joaquim da Barra-Orlândia, Região Geográfica Intermediária de Ribeirão Preto, São Paulo, Região Sudeste, 14600-000, BrasilopenHealth, Health and Medicine Store, Pharmacy",Correct,Correct,Correct,Correct,Wrong,Wrong,"[""Minor Mistake"",""Major Mistake""]","[""Minor Mistake"",""Major Mistake""]",null,null,"[""Repetition"",""Other Information""]","[""Repetition"",""Other Information""]","[""Wrong House Number"",""Wrong Province/City/District/Town""]","[""Wrong House Number""]",Correct,Correct,Wrong,UV,Correct,Correct,Fail,Right,Yes,"Address,BH"
Day3,"HIDRONEWS REDENTORATravessa Inácio Egea, Vila Bancária, São José do Rio Preto, São José do Rio Preto, Região Imediata de São José do Rio Preto, Região Geográfica Intermediária de São José do Rio Preto, São Paulo, Região Sudeste, 15015-205, BrasilopenShopping, Sporting Goods Store, Swimming Pool Supply Store",UV,UV,Correct,Correct,Wrong,Wrong,"[""Minor Mistake"",""Major Mistake"",""Word Missing""]","[""Word Missing"",""Minor Mistake"",""Major Mistake""]","[""Missing House Number""]","[""Missing House Number""]","[""Repetition"",""Other Information""]","[""Repetition"",""Other Information""]","[""Wrong Road Name""]","[""Wrong Road Name""]",Correct,Correct,UV,UV,Correct,Correct,Fail,Right,Yes,Address
Day3,"Church Universal White Sand 2Avenida Progresso, Areia Branca, Salvador, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 43700000, BrasilopenReligion, Church",Correct,Correct,Correct,Correct,Wrong,Wrong,"[""Minor Mistake"",""Major Mistake"",""Word Missing""]","[""Word Missing"",""Minor Mistake"",""Major Mistake""]","[""Missing House Number""]","[""Missing House Number"",""Missing Floor/Room Number""]","[""Other Information"",""Repetition""]","[""Repetition"",""Other Information""]","[""Wrong Road Name"",""Wrong Province/City/District/Town""]","[""Wrong Province/City/District/Town"",""Wrong Road Name""]",Correct,Correct,UV,UV,Correct,UV,Fail,Right,Yes,"Address,Tel"
Day3,"Marf Ferro e AçoRua Bom Jesus da Cachoeira, Parque Edu Chaves, Jaçanã, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 02236-020, BrasilopenOffice and Industrial, Company",UV,UV,Correct,Correct,Wrong,Wrong,"[""Minor Mistake"",""Word Missing""]","[""Word Missing"",""Minor Mistake""]","[""Missing House Number""]","[""Missing House Number""]","[""Other Information""]","[""Other Information""]",null,null,Correct,Correct,Wrong,Wrong,Correct,Correct,Fail,Right,Yes,Address
Day3,"Network Plus SupermarketsRua Thomaz Antônio Villani, 135, Rua Thomaz Antônio Vilani, Cachoeirinha, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 02562-010, BrasilopenShopping, Supermarket",Correct,Correct,Correct,Correct,Wrong,Wrong,"[""Minor Mistake"",""Major Mistake""]","[""Major Mistake"",""Minor Mistake""]",null,null,"[""Other Information""]","[""Repetition"",""Other Information""]","[""Wrong House Number"",""Wrong Province/City/District/Town""]","[""Wrong Province/City/District/Town"",""Wrong House Number""]",Correct,Correct,UV,UV,Correct,Correct,Fail,Fail,No,
Day3,"DIP CORE BRASIL LTDA EPPRua Ludgero Dolabela, Gutierrez, Gutierrez, Regional Oeste, Belo Horizonte, Região Geográfica Imediata de Belo Horizonte, Região Metropolitana de Belo Horizonte, Região Geográfica Intermediária de Belo Horizonte, Minas Gerais, Região Sudeste, 30441-036, BrasilopenOffice and Industrial, Company",UV,UV,Wrong,Wrong,Wrong,Wrong,"[""Word Missing"",""Minor Mistake""]","[""Word Missing"",""Minor Mistake""]","[""Missing House Number"",""Missing Floor/Room Number""]","[""Missing House Number"",""Missing Floor/Room Number""]","[""Other Information"",""Repetition""]","[""Repetition"",""Other Information""]",null,null,Correct,Correct,UV,UV,Correct,Correct,Fail,Right,Yes,Address
Day3,"UbaSurf MotorsUbatuba, Sao Paulo, BrazilopenShopping, Sporting Goods Store, Bicycle Store",null,UV,null,Correct,null,Wrong,null,"[""Word Missing""]",null,"[""Missing Road Name"",""Missing House Number""]",null,null,null,null,null,Correct,null,Correct,null,Correct,Fail,TBD,Yes,"Status,Name,Address,Catergory,BH,Tel"
Day3,"Happy Pizza UberabaAvenida Leopoldino de Oliveira, Vila Frei Eugênio, Uberaba, Região Geográfica Imediata de Uberaba, Região Geográfica Intermediária de Uberaba, Minas Gerais, Região Sudeste, 38015-400, BrasilopenFood and Drink, Restaurant, Pizza Restaurant",Correct,Correct,Correct,Correct,Wrong,Wrong,"[""Minor Mistake"",""Word Missing"",""Major Mistake""]","[""Word Missing"",""Minor Mistake"",""Major Mistake""]","[""Missing House Number""]","[""Missing House Number""]","[""Other Information""]","[""Other Information""]","[""Wrong Province/City/District/Town""]","[""Wrong Province/City/District/Town""]",Correct,Correct,Correct,Correct,Correct,Correct,Fail,Right,Yes,Address
